wl;a1_p;a2_p;a3_p;a4_p;a5_p;a6_p;a7_p;a8_p;a9_p;a1_nap;a2_nap;a3_nap;a4_nap;a5_nap;a6_nap;a7_nap;a8_nap;a9_nap;a1_phy;a2_phy;a3_phy;a4_phy;a5_phy;a6_phy;a7_phy;a8_phy;a9_phy
525;0.374109252036559;0.32659502035583;0.217817497059032;0.182959427968032;0.508036188491816;0.557000014698406;0.278569286481788;0.344022653831685;0.291626574001948;0.255889121711989;0.204433504915383;0.136840220521325;0.118600401899594;0.261134341801039;0.287210182992594;0.165950409840842;0.141843738325157;0.142600388053169;0.11822013032457;0.122161515440447;0.0809772765377071;0.064359026068438;0.246901846690777;0.269789831705812;0.112618876640946;0.202178915506528;0.149026185948779
524;0.376923568630509;0.329289014031974;0.219674135885202;0.184636690857765;0.512232711700566;0.560155612202438;0.281073235771859;0.346056846737429;0.294034823442472;0.25779681713366;0.206281509774844;0.138081474184002;0.119614584260704;0.263560142650864;0.28968510937034;0.167425934720245;0.143335876508005;0.143272023122704;0.119126751496849;0.12300750425713;0.0815926617012004;0.0650221065970608;0.248672569049702;0.270470502832098;0.113647301051614;0.202720970229424;0.150762800319768
523;0.380126794252344;0.331729711626329;0.221097213991732;0.186183311298755;0.516401587054305;0.56371372947769;0.283534187142884;0.34804731952449;0.296264561472245;0.260240423284986;0.208416436176184;0.139423280958565;0.120836226305933;0.266630555296282;0.29206865830718;0.169084765392952;0.144785063838391;0.145414093432288;0.119886370967357;0.123313275450146;0.0816739330331673;0.0653470849928213;0.249771031758023;0.27164507117051;0.114449421749932;0.203262255686099;0.150850468039957
522;0.383468774412316;0.334854729102678;0.223359411073302;0.187808192530997;0.521084924601362;0.567818543863781;0.286395594296798;0.351111460486743;0.29871711701195;0.262355826928772;0.210056839767444;0.140292780964725;0.121857914730206;0.268137318108059;0.294279881561397;0.17022407545974;0.145677492278031;0.146104470342417;0.121112947483544;0.124797889335235;0.0830666301085767;0.0659502778007914;0.252947606493304;0.273538662302384;0.116171518837058;0.205433968208712;0.152612646669534
521;0.387463793330098;0.338356146897424;0.225787942932918;0.189733013153267;0.526310661486838;0.572227920926457;0.288342105932068;0.353981264783569;0.301714618733552;0.264778536056296;0.211935803475673;0.141643973850035;0.122900324044582;0.270563339413027;0.297124267309957;0.171873453823058;0.147406990750295;0.148018928091409;0.122685257273802;0.126420343421752;0.0841439690828834;0.066832689108685;0.255747322073811;0.275103653616499;0.11646865210901;0.206574274033273;0.153695690642143
520;0.391380014030863;0.341515808850872;0.228133841148481;0.191497447134992;0.532273522101467;0.578168617142335;0.291476419749051;0.358139896008727;0.305938950342163;0.267156894703545;0.213684301438262;0.143182642461598;0.124102609572359;0.27351540055984;0.300117811291862;0.173807765361167;0.148928589385508;0.149838271440955;0.124223119327318;0.12783150741261;0.0849511986868837;0.0673948375626328;0.258758121541626;0.278050805850473;0.117668654387884;0.209211306623219;0.156100678901208
519;0.395281917871917;0.345012606844403;0.230052771726083;0.193344761679515;0.539000200964672;0.584028029689644;0.294422656091248;0.362401854421502;0.308383279465548;0.269505041645899;0.215836258883888;0.144456765280165;0.125121485522367;0.27620252266505;0.30259578720783;0.175100849949594;0.150396208458891;0.151235784503449;0.125776876226018;0.129176347960515;0.0855960064459177;0.0682232761571477;0.262797678299623;0.281432242481814;0.119321806141654;0.21200564596261;0.157147494962099
518;0.39985751567898;0.348968370254083;0.232809382924603;0.195297914462297;0.544365334385119;0.590452708125673;0.297343983138709;0.366921113030596;0.313245377293962;0.272021441882027;0.217873803040431;0.146057384736513;0.126299086152593;0.278519558089066;0.305404371442973;0.176915369722165;0.152070472027553;0.152363484889234;0.127836073796953;0.131094567213652;0.0867519981880892;0.0689988283097041;0.265845776296053;0.2850483366827;0.120428613416544;0.214850641003043;0.160881892404728
517;0.404786246370056;0.352772929462328;0.235383271374716;0.19724251796812;0.551598479266472;0.597075316988354;0.299913467997171;0.371930603479383;0.317391595524864;0.273966513502344;0.219713272680445;0.147393462302751;0.127391265457297;0.28068784307965;0.307892313446277;0.178037068032373;0.15291786070704;0.154271115071483;0.130819732867712;0.133059656781883;0.0879898090719645;0.069851252510822;0.270910636186822;0.289183003542078;0.121876399964798;0.219012742772343;0.163120480453382
516;0.410034027107237;0.357319283437719;0.237999289046935;0.199326577573486;0.559850003262651;0.605490755932284;0.303854748591805;0.378054602376235;0.321964784502452;0.276548556894883;0.221804402046201;0.148404266351098;0.128533156453162;0.283681058003283;0.310761009922768;0.179971567607314;0.154769926229219;0.1553710598842;0.133485470212354;0.135514881391517;0.0895950226958373;0.0707934211203239;0.276168945259368;0.294729746009516;0.123883180984491;0.223284676147016;0.166593724618252
515;0.415499320219623;0.361961450189584;0.240755820810942;0.201572677070164;0.566907708715534;0.613605346606575;0.306608447825556;0.383420087425876;0.327072488501682;0.279217237106715;0.223921813773783;0.150253280443042;0.129886415167559;0.286409712486309;0.314086882226917;0.181669063313541;0.156331904378541;0.157459282428302;0.136282083112908;0.138039636415802;0.0905025403678998;0.0716862619026049;0.280497996229225;0.299518464379658;0.124939384512016;0.227088183047336;0.16961320607338
514;0.421114678305694;0.366505480964019;0.243411779965568;0.203682856688326;0.575299172201403;0.622455867141463;0.310244269706198;0.389883857066917;0.332670433698807;0.281471625299943;0.226005499576425;0.151775333321376;0.131022515354486;0.289548248046266;0.316681889040188;0.183189985513323;0.158117737762392;0.158909044920982;0.13964305300575;0.140499981387594;0.0916364466441916;0.0726603413338394;0.285750924155137;0.305773978101274;0.127054284192875;0.231766119304524;0.173761388777824
513;0.426772132351205;0.371144620554434;0.246377769295948;0.205933216092614;0.584424352011378;0.632363677784005;0.314083654289989;0.396899889786956;0.338409446664577;0.284320240142337;0.228415803959758;0.152853301148618;0.132296513456757;0.291999029660054;0.320029161480369;0.184875718779108;0.159612286805766;0.160448836176896;0.142451892208868;0.142728816594677;0.0935244681473293;0.0736367026358576;0.292425322351324;0.312334516303636;0.12920793551088;0.237287602981191;0.177960610487681
512;0.432734073746369;0.37598227243123;0.249524622960545;0.208158184635693;0.593458095325951;0.642243349133494;0.317582264553589;0.403860776789659;0.344535892085836;0.286807229286442;0.23043221459801;0.154069448790271;0.133307916466513;0.294835125663312;0.322452142782192;0.186661137909183;0.16124890820805;0.1617926365522;0.145926844459927;0.145550057833219;0.095455174170274;0.0748502681691792;0.298622969662638;0.319791206351302;0.130921126644405;0.242611868581609;0.182743255533636
511;0.439121630380114;0.381571755856624;0.252599612404935;0.210590733148231;0.602559523262597;0.652160235047616;0.3210416069634;0.411323257897471;0.350195832022345;0.289776676932583;0.232399972600274;0.156248929102224;0.134710152480575;0.297456250063997;0.324914740318825;0.188218202257009;0.162514293618462;0.164364650175857;0.149344953447531;0.14917178325635;0.0963506833027107;0.0758805806676561;0.3051032731986;0.327245494728791;0.132823404706391;0.248808964279009;0.185831181846487
510;0.445383787872896;0.38651988861993;0.255526080637329;0.212983583530383;0.611809712285635;0.663104847277562;0.325063977476043;0.418782711215958;0.355903592625413;0.292407024444753;0.234812179363578;0.15754908453924;0.135909385638737;0.300749003486421;0.329079115385772;0.190528480111899;0.164325465017662;0.16590611265691;0.152976763428142;0.151707709256353;0.097976996098089;0.0770741978916458;0.311060708799214;0.33402573189179;0.134535497364144;0.254457246198297;0.189997479968503
509;0.451896144577778;0.391730430349266;0.258714951590841;0.215607383599919;0.620370661588435;0.6734348808358;0.329073317171758;0.426282683164016;0.362291015882411;0.295097428615617;0.236933811292566;0.158785902906943;0.137251586188366;0.302953821259185;0.331659977286743;0.191880675307364;0.165996928437701;0.167334927195559;0.156798715962161;0.1547966190567;0.0999290486838973;0.078355797411553;0.31741684032925;0.341774903549058;0.137192641864394;0.260285754726315;0.194956088686851
508;0.458107811319247;0.397066630173915;0.261993901512593;0.218003424790842;0.629828516939965;0.684423767305695;0.332971594227328;0.434454265867653;0.368923241234295;0.297719458932563;0.238677439612891;0.160259061337645;0.138131228187704;0.306250752423556;0.334508125752577;0.193283135787067;0.167797274751461;0.168896937681953;0.160388352386684;0.158389190561023;0.101734840174948;0.0798721966031373;0.323577764516409;0.349915641553118;0.13968845844026;0.266656991116192;0.200026303552342
507;0.465008137490522;0.40214380857655;0.264742117649458;0.220463666770279;0.639813769095503;0.694724755744316;0.336379106334589;0.441818113118919;0.375186498635191;0.300673156474429;0.241604177669999;0.162203843451768;0.139703695487857;0.31006225809354;0.338537483221959;0.195804028175333;0.169912495999102;0.17091892928756;0.164334981016092;0.16053963090655;0.10253827419769;0.080759971282422;0.329751511001964;0.356187272522357;0.140575078159256;0.271905617119818;0.204267569347631
506;0.471436457790325;0.407957132897187;0.268610916833906;0.223179733967922;0.649422051440283;0.705984829412685;0.340787275624782;0.449390936601439;0.381279200866579;0.303266538329619;0.243504438831647;0.163174671864508;0.140823022608169;0.312392365437723;0.341237768593502;0.197382490502009;0.171591276626603;0.172111168762484;0.168169919460706;0.16445269406554;0.105436244969398;0.0823567113597526;0.33702968600256;0.364747060819184;0.143404785122774;0.277799659974836;0.209168032104095
505;0.477410211017294;0.412548336976321;0.271617882553074;0.225640273423961;0.657679948626062;0.715545618633621;0.344029384443732;0.456477444048657;0.387783630434642;0.306238670243687;0.245627897947754;0.165149989354269;0.142181347004343;0.315290839723939;0.343970419013996;0.199348320463571;0.172933256797701;0.173659179144021;0.171171540773607;0.166920439028567;0.106467893198805;0.0834589264196178;0.342389108902123;0.371575199619625;0.144681063980161;0.283544187250956;0.21412445129062
504;0.484208558092836;0.417591495915526;0.275238947042805;0.228436663378742;0.6658725915608;0.725190737055475;0.348277991951909;0.463994367130939;0.393358920346629;0.309722477756832;0.248490859188331;0.167504955243025;0.143736911402117;0.318617689164751;0.347811106657835;0.20107635267266;0.174877685964369;0.177000252047808;0.174486080336005;0.169100636727195;0.10773399179978;0.084699751976625;0.347254902396049;0.37737963039764;0.14720163927925;0.289116681166571;0.216358668298821
503;0.490087349550901;0.42217976293228;0.277708498459178;0.230710337537841;0.674844717070155;0.734611964498782;0.352070059966921;0.470355857930597;0.398899617056978;0.31257085686384;0.25025160273577;0.168329281863185;0.14478438110671;0.321603198435399;0.351255269948938;0.202959331334578;0.176696747053042;0.17780040527365;0.177516492687061;0.171928160196511;0.109379216595993;0.0859259564311309;0.353241518634756;0.383356694549844;0.149110728632343;0.293659110877555;0.221099211783328
502;0.495465969592565;0.426800661891673;0.280534148949661;0.233130152389759;0.683497829028657;0.74357290145049;0.355798327446529;0.476569821919515;0.403504458656211;0.315558661001232;0.25286556417031;0.170262619441113;0.146294624983201;0.324574258769676;0.35438985813918;0.204843481798331;0.178121081757892;0.179990361870952;0.179907308591332;0.173935097721363;0.110271529508548;0.0868355274065586;0.358923570258981;0.38918304331131;0.150954845648199;0.298448740161623;0.223514096785259
501;0.501404720216081;0.431724116429607;0.284097861735275;0.235668600005111;0.68994593508257;0.751258427553905;0.359601848630875;0.482007113913023;0.408679348439849;0.318555220897837;0.255588946074717;0.172031467531767;0.147802517129091;0.328303583451085;0.358266031467487;0.207382358816105;0.180597311651806;0.181720755787934;0.182849499318244;0.17613517035489;0.112066394203508;0.0878660828760205;0.361642351631485;0.392992396086418;0.152219489814769;0.301409802261217;0.226958592651915
500;0.506746605950951;0.435922657524851;0.287853564291659;0.238253966279697;0.696588626198254;0.758558834284169;0.363191430986334;0.487116487205097;0.414324361311646;0.321491198398359;0.257976217812324;0.173746776830634;0.149286413735976;0.330298385207101;0.361089057526485;0.208688696954673;0.182223714614491;0.183288608174108;0.185255407552592;0.177946439712528;0.114106787461025;0.0889675525437207;0.366290240991153;0.397469776757685;0.154502734031661;0.304892772590606;0.231035753137538
499;0.51117296731867;0.439570106105586;0.290499314458004;0.24047245115423;0.703394010446809;0.765875264166869;0.366472918953262;0.491925896143371;0.418026473538977;0.324512354899826;0.260364968913763;0.17520516919285;0.15045029884423;0.334550725511304;0.364156391250408;0.210459015120188;0.183966462207158;0.185365377960438;0.186660612418844;0.179205137191823;0.115294145265155;0.0900221523099994;0.368843284935504;0.401718872916461;0.156013903833074;0.307959433936213;0.23266109557854
498;0.515520642669878;0.44303138970354;0.293546658974782;0.242679408575149;0.708414536032041;0.771138985203832;0.369674577992146;0.495654113052896;0.422226998199697;0.327650433300515;0.262520701427981;0.176494195562374;0.151739061152956;0.337687204268784;0.367835341034714;0.212777022023279;0.185748529573766;0.187101152749008;0.187870209369363;0.180510688275559;0.117052463412408;0.0909403474221938;0.370727331763257;0.403303644169117;0.156897555968866;0.30990558347913;0.235125845450689
497;0.519491289670199;0.446634955500481;0.296014880814572;0.244948859578988;0.713652631372611;0.776584732630142;0.372702224088512;0.499046042719144;0.425242025113581;0.331318479912267;0.265542470638419;0.179067959683468;0.15350626121266;0.342284514852923;0.372449989223464;0.214973842934414;0.188113067189678;0.189926994000527;0.188172809757932;0.181092484862062;0.116946921131105;0.0914425983663279;0.371368116519688;0.404134743406678;0.157728381154098;0.310932975529466;0.235315031113054
496;0.523467814057339;0.449716288965593;0.299040464751237;0.246939031350785;0.718532343388365;0.780402695373091;0.375850656960812;0.501578954377288;0.428528764980993;0.334129099862529;0.267957275225371;0.180796732550356;0.154831305286927;0.344801896092846;0.375421384483681;0.216965652125184;0.18979500074321;0.192130002730681;0.18933871419481;0.181759013740222;0.118243732200881;0.0921077260638583;0.373730447295519;0.40498131088941;0.158885004835628;0.311783953634078;0.236398762250312
495;0.526703809323095;0.452576860728437;0.301957694446219;0.24893813428612;0.722710446123413;0.784025188491115;0.378882284233379;0.503699845578187;0.43268382130242;0.337343372531698;0.270562927098961;0.182546916966802;0.156339358962695;0.349114507053669;0.379657484043167;0.219210279056147;0.192177080205978;0.194051264220436;0.189360436791397;0.182013933629476;0.119410777479417;0.0925987753234257;0.373595939069744;0.404367704447948;0.159672005177232;0.311522765372209;0.238632557081984
494;0.529635874733454;0.455345293035224;0.304473492736445;0.250906142800642;0.725107888737464;0.786474969199912;0.381401527072898;0.505017045803079;0.434852913982485;0.340128745024014;0.273080480194832;0.184095117339279;0.157641017584239;0.351547788744821;0.383135314451958;0.22105815045059;0.193976906496875;0.195856301925308;0.18950712970944;0.182264812840392;0.120378375397165;0.0932651252164033;0.373560099992643;0.403339654747953;0.160343376622308;0.311040139306204;0.238996612057177
493;0.53272655620073;0.45791431656566;0.306751887630477;0.252756786252083;0.729145856605514;0.789058948465261;0.384064425736444;0.5061641779298;0.436862985513803;0.343666901569312;0.275592450216903;0.185879039536952;0.158895466871091;0.354939819710835;0.38669608123888;0.222727836543028;0.195758678957925;0.198258179147169;0.189059654631417;0.182321866348757;0.120872848093525;0.0938613193809917;0.374206036894679;0.40236286722638;0.161336589193416;0.310405498971875;0.238604806366634
