B7;B8;B9;B10;B11;B12;C4;C5;C6;C7;C8;C9;F7;F8;F9;Wavel.
0,079999998;0,079000004;0,083499998;0,075400002;0,083400004;0,080899999;0,088500001;0,091600001;0,083999999;0,066200003;0,0647;0,063000001;0,058400001;0,052999999;0,049199998;562
0,079400003;0,078299999;0,082800001;0,074699998;0,082599998;0,080200002;0,087800004;0,090899996;0,083300002;0,065800004;0,064499997;0,062799998;0,058400001;0,052900001;0,0491;564
0,079000004;0,0779;0,0823;0,074199997;0,082000002;0,079700001;0,087399997;0,090499997;0,082900003;0,0656;0,064400002;0,062600002;0,0583;0,052900001;0,0491;566
0,078400001;0,077200003;0,081500001;0,0735;0,081200004;0,078900002;0,0867;0,0898;0,0823;0,065300003;0,064099997;0,062399998;0,0583;0,052900001;0,049199998;568
0,076700002;0,075499997;0,079599999;0,071800001;0,079000004;0,076800004;0,085000001;0,088;0,080499999;0,064400002;0,063299999;0,061799999;0,058200002;0,0528;0,049199998;570
0,075300001;0,074000001;0,078100003;0,070299998;0,077100001;0,075099997;0,083499998;0,086400002;0,079000004;0,0638;0,062700003;0,0612;0,0583;0,0528;0,049199998;572
0,073700003;0,072300002;0,076300003;0,068599999;0,074900001;0,072999999;0,081799999;0,0845;0,077299997;0,063000001;0,061999999;0,060600001;0,058200002;0,0528;0,049199998;574
0,072700001;0,071400002;0,075199999;0,067599997;0,073600002;0,071800001;0,080700003;0,083400004;0,076200001;0,0625;0,061700001;0,060199998;0,058200002;0,0528;0,049199998;576
0,069399998;0,067900002;0,071699999;0,064199999;0,0691;0,067599997;0,077200003;0,079400003;0,0726;0,061099999;0,060199998;0,059;0,058200002;0,0528;0,049199998;578
0,067299999;0,065700002;0,069399998;0,061999999;0,066200003;0,064800002;0,074900001;0,076899998;0,070299998;0,0601;0,0592;0,0581;0,058200002;0,052900001;0,0493;580
0,064999998;0,063299999;0,0669;0,059700001;0,063100003;0,061900001;0,072300002;0,074299999;0,067699999;0,059;0,058200002;0,057100002;0,058200002;0,0528;0,049199998;582
0,063600004;0,061799999;0,065300003;0,0583;0,061099999;0,059999999;0,070699997;0,0726;0,066100001;0,058400001;0,057599999;0,056600001;0,0583;0,052900001;0,0493;584
0,060400002;0,0579;0,0612;0,054400001;0,056000002;0,055199999;0,066600002;0,068300001;0,061900001;0,056699999;0,055799998;0,055;0,0583;0,052900001;0,0493;586
0,058200002;0,056000002;0,059300002;0,0526;0,054099999;0,0528;0,065099999;0,066699997;0,060400002;0,0559;0,055199999;0,054499999;0,0583;0,052900001;0,0493;588
0,056400001;0,054200001;0,057500001;0,050900001;0,051800001;0,0506;0,063199997;0,0647;0,058499999;0,055100001;0,054400001;0,0539;0,0583;0,0528;0,049400002;590
0,055500001;0,053100001;0,056299999;0,049899999;0,049800001;0,0493;0,0616;0,063000001;0,056899998;0,054699998;0,0537;0,053199999;0,058200002;0,0528;0,0493;592
0,054299999;0,052000001;0,055199999;0,048799999;0,048300002;0,047899999;0,0603;0,061799999;0,055599999;0,054200001;0,053199999;0,0528;0,058200002;0,052700002;0,0493;594
0,053100001;0,050700001;0,0539;0,047800001;0,046799999;0,046300001;0,059;0,0601;0,054299999;0,0537;0,0526;0,052299999;0,0581;0,052700002;0,0493;596
0,052499998;0,050099999;0,053300001;0,047200002;0,045899998;0,045699999;0,058400001;0,059500001;0,0537;0,053399999;0,0524;0,052099999;0,0581;0,052700002;0,0493;598
0,051899999;0,049400002;0,0526;0,046599999;0,045000002;0,044799998;0,057700001;0,058800001;0,052999999;0,053100001;0,052099999;0,051800001;0,0581;0,0526;0,049199998;600
0,0515;0,0491;0,052200001;0,046300001;0,044500001;0,044500001;0,057300001;0,0583;0,0526;0,052999999;0,052000001;0,0517;0,0581;0,0526;0,049199998;602
0,0513;0,048900001;0,052000001;0,0462;0,044300001;0,044199999;0,057100002;0,0581;0,0524;0,052900001;0,051899999;0,051600002;0,0581;0,052499998;0,049199998;604
0,050999999;0,048500001;0,051600002;0,046;0,0438;0,0438;0,056600001;0,057700001;0,052000001;0,0528;0,051600002;0,051399998;0,057999998;0,0524;0,0491;606
0,050799999;0,0484;0,051600002;0,045899998;0,0436;0,043699998;0,056499999;0,057300001;0,051800001;0,0528;0,051600002;0,0513;0,057999998;0,052299999;0,0491;608
0,0506;0,048300002;0,0515;0,045899998;0,043400001;0,0436;0,056400001;0,057100002;0,0517;0,0528;0,0515;0,0513;0,0579;0,052299999;0,0491;610
0,050500002;0,048099998;0,051399998;0,0458;0,043200001;0,043499999;0,0561;0,056899998;0,051600002;0,052700002;0,051399998;0,051100001;0,057799999;0,052099999;0,048999999;612
0,050299998;0,047899999;0,0513;0,045699999;0,043000001;0,043400001;0,0559;0,056600001;0,051399998;0,0526;0,0513;0,050999999;0,057700001;0,052000001;0,048900001;614
0,0502;0,047600001;0,051100001;0,045699999;0,042800002;0,043200001;0,0557;0,056400001;0,051199999;0,0526;0,051100001;0,050799999;0,057700001;0,051899999;0,048700001;616
0,050000001;0,047499999;0,050999999;0,045699999;0,0427;0,043099999;0,055399999;0,056299999;0,050999999;0,052499998;0,050999999;0,0506;0,057599999;0,0517;0,048599999;618
0,050000001;0,0473;0,050900001;0,045600001;0,042599998;0,043000001;0,055199999;0,0561;0,050799999;0,0524;0,050799999;0,050500002;0,057500001;0,051600002;0,048500001;620
0,049800001;0,047200002;0,050799999;0,045600001;0,042399999;0,0429;0,055;0,0559;0,050700001;0,052299999;0,050700001;0,050299998;0,057399999;0,051399998;0,0484;622
0,049600001;0,0469;0,0506;0,045499999;0,042300001;0,042800002;0,0546;0,0557;0,0504;0,052200001;0,0504;0,050000001;0,057300001;0,051199999;0,0482;624
0,0495;0,046799999;0,0506;0,045499999;0,042199999;0,0427;0,054400001;0,055500001;0,0502;0,052000001;0,0502;0,049899999;0,057100002;0,050999999;0,048099998;626
0,049400002;0,046599999;0,0506;0,045499999;0,042100001;0,0427;0,054299999;0,055300001;0,050000001;0,052000001;0,050099999;0,049699999;0,057;0,050799999;0,047800001;628
0,0493;0,046500001;0,050700001;0,045400001;0,041999999;0,042599998;0,054099999;0,055100001;0,050000001;0,051899999;0,050000001;0,049600001;0,056899998;0,050799999;0,047800001;630
0,0491;0,046300001;0,0506;0,045299999;0,0418;0,0425;0,0537;0,054699998;0,049699999;0,0517;0,049699999;0,0493;0,056600001;0,0504;0,047499999;632
